source_id,ra,dec,redshift,z_bin,class,y_true
081359.30+213512.7,123.497097,21.586874,0.180247,z_0.0-0.3,normal_agn,0
084349.75+261910.7,130.957303,26.319650,0.257100,z_0.0-0.3,normal_agn,0
075209.09+414235.5,118.037892,41.709880,0.258726,z_0.0-0.3,normal_agn,0
083630.99+411326.0,129.129136,41.223916,0.276773,z_0.0-0.3,normal_agn,0
083647.50+042214.4,129.197958,4.370681,0.181525,z_0.0-0.3,normal_agn,0
075659.58+452830.5,119.248270,45.475162,0.205000,z_0.0-0.3,normal_agn,0
080452.73+212050.2,121.219727,21.347280,0.124704,z_0.0-0.3,normal_agn,0
083943.59+433018.0,129.931631,43.505025,0.137000,z_0.0-0.3,normal_agn,0
083717.89+191648.0,129.324546,19.280004,0.293678,z_0.0-0.3,normal_agn,0
080639.13+492747.6,121.663043,49.463230,0.277921,z_0.0-0.3,normal_agn,0
081427.69+433705.1,123.615379,43.618091,0.223992,z_0.0-0.3,normal_agn,0
083137.94+432825.2,127.908118,43.473675,0.200753,z_0.0-0.3,normal_agn,0
075216.55+500251.3,118.068994,50.047596,0.263182,z_0.0-0.3,normal_agn,0
075819.68+421935.1,119.582027,42.326433,0.211000,z_0.0-0.3,normal_agn,0
074840.67+192703.6,117.169485,19.451016,0.050797,z_0.0-0.3,normal_agn,0
082930.59+081238.0,127.377460,8.210575,0.129510,z_0.0-0.3,normal_agn,0
080402.54+370201.2,121.010596,37.033667,0.216900,z_0.0-0.3,normal_agn,0
081953.08+561017.7,124.971201,56.171607,0.217993,z_0.0-0.3,normal_agn,0
080202.78+101943.1,120.511617,10.328649,0.204800,z_0.0-0.3,normal_agn,0
084207.59+274326.1,130.531654,27.723928,0.272940,z_0.0-0.3,normal_agn,0
075949.54+320023.8,119.956424,32.006620,0.187922,z_0.0-0.3,normal_agn,0
075643.10+310248.9,119.179611,31.046938,0.271366,z_0.0-0.3,normal_agn,0
080849.07+452907.3,122.204470,45.485387,0.246041,z_0.0-0.3,normal_agn,0
082734.94+493210.0,126.895615,49.536134,0.227283,z_0.0-0.3,normal_agn,0
080838.69+505124.2,122.161214,50.856728,0.282882,z_0.0-0.3,normal_agn,0
083512.36+124234.5,128.801531,12.709603,0.277475,z_0.0-0.3,normal_agn,0
083740.02+105902.1,129.416766,10.983936,0.272108,z_0.0-0.3,normal_agn,0
083125.11+560925.2,127.854665,56.157018,0.232196,z_0.0-0.3,normal_agn,0
080120.97+194803.9,120.337402,19.801094,0.179240,z_0.0-0.3,normal_agn,0
080101.41+184840.7,120.255895,18.811322,0.139838,z_0.0-0.3,normal_agn,0
080729.43+261805.9,121.872631,26.301648,0.266908,z_0.0-0.3,normal_agn,0
082739.00+094209.4,126.912505,9.702631,0.260500,z_0.0-0.3,normal_agn,0
082059.27+264521.2,125.246984,26.755903,0.239136,z_0.0-0.3,normal_agn,0
081429.25+265241.7,123.621900,26.878257,0.284811,z_0.0-0.3,normal_agn,0
081651.10+180249.6,124.212931,18.047131,0.159500,z_0.0-0.3,normal_agn,0
080334.73+433019.7,120.894738,43.505482,0.190000,z_0.0-0.3,normal_agn,0
081018.67+250921.2,122.577822,25.155907,0.263352,z_0.0-0.3,normal_agn,0
083117.99+450024.4,127.824988,45.006791,0.147000,z_0.0-0.3,normal_agn,0
