source_id,canonical_id,score,status,n_points,baseline_days,band_coverage,baseline_years,delta_mag,delta_mag_method,rejection_reason,status_normalized,baseline_years_recomputed,baseline_years_diff,baseline_years_consistent,is_ok,source_id_normalized,source_id_matches_canonical,id_mismatch_reason,is_ambiguous_id,has_w1,has_w2,strict_quality,score_is_missing,score_is_finite,rejection_bucket
000038.16+020144.5,000038.16+020144.5,,TOO_FEW_POINTS,16,4911.307730500004,"W1,W2",13.44642773579741,,,Only 16 epochs (need 20),TOO_FEW_POINTS,13.44642773579741,0.0,True,False,000038.16+020144.5,True,,False,True,True,False,True,False,few_epochs
000038.85+054847.7,000038.85+054847.7,,TOO_FEW_POINTS,12,5113.557077199999,"W1,W2",14.000156268856944,,,Only 12 epochs (need 20),TOO_FEW_POINTS,14.000156268856944,0.0,True,False,000038.85+054847.7,True,,False,True,True,False,True,False,few_epochs
000042.92+310715.3,000042.92+310715.3,0.2872740488579815,OK,27,4179.074861230001,"W1,W2",11.441683398302535,0.0,seasonal_median_flux,,OK,11.441683398302535,0.0,True,True,000042.92+310715.3,True,,False,True,True,False,False,True,ok
000045.05+011127.8,000045.05+011127.8,,TOO_FEW_POINTS,17,4179.873349509995,"W1,W2",11.443869540068432,,,Only 17 epochs (need 20),TOO_FEW_POINTS,11.443869540068432,0.0,True,False,000045.05+011127.8,True,,False,True,True,False,True,False,few_epochs
000046.17+170047.0,000046.17+170047.0,0.1816763541080265,OK,140,5116.36195721,"W1,W2",14.007835611800136,0.0045974054771192,seasonal_median_flux,,OK,14.007835611800136,0.0,True,True,000046.17+170047.0,True,,False,True,True,True,False,True,ok
000048.01+333926.9,000048.01+333926.9,,TOO_FEW_POINTS,15,5113.51229133,"W1,W2",14.000033651827517,,,Only 15 epochs (need 20),TOO_FEW_POINTS,14.000033651827517,0.0,True,False,000048.01+333926.9,True,,False,True,True,False,True,False,few_epochs
000052.48-022635.5,000052.48-022635.5,0.2005787403835717,OK,46,5114.060697740002,"W1,W2",14.001535106748808,0.3049085661255372,seasonal_median_flux,,OK,14.001535106748808,0.0,True,True,000052.48-022635.5,True,,False,True,True,False,False,True,ok
000055.85+200708.9,000055.85+200708.9,0.0741077323035796,OK,181,5116.955480719997,"W1,W2",14.009460590609162,0.1960433679078147,seasonal_median_flux,,OK,14.009460590609162,0.0,True,True,000055.85+200708.9,True,,False,True,True,True,False,True,ok
000056.16+192036.9,000056.16+192036.9,0.3504742480518211,OK,153,5115.928883699999,"W1,W2",14.006649921149894,0.404608008383393,seasonal_median_flux,,OK,14.006649921149894,0.0,True,True,000056.16+192036.9,True,,False,True,True,True,False,True,ok
000057.15+150936.5,000057.15+150936.5,0.1158915243993852,OK,85,5112.73779354,"W1,W2",13.997913192443532,0.2069431841002017,seasonal_median_flux,,OK,13.997913192443532,0.0,True,True,000057.15+150936.5,True,,False,True,True,True,False,True,ok
