source_id,ra,dec,class,label_source,label_method,independent_of_pipeline,notes,mag,redshift
4952372170242944,42.21952528874,3.91603245831,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.91301,
6802059965763456,45.60875813942,5.35864231487,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.435432,
3646014917806464,46.85407600465,5.02538373905,star,2022A&A...667A.148G,Gaia DR3 variability,True,,17.394726,
5928944654308352,39.87826331514,4.37121316115,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.591978,
5220790446842240,44.37609281991,4.4483115299,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.776625,
6766085319816704,45.19029852479,5.04973000752,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.525675,
13464726768753024,52.90598821861,11.44343373994,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.137323,
8011419677274240,43.40615777318,6.92653499898,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.08931,
3310492072379904,48.99851070822,5.23050112845,star,2022A&A...667A.148G,Gaia DR3 variability,True,,16.228146,
5190760035117568,43.45623974563,4.43733788502,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.395231,
8155597434951296,44.24522353616,7.5865648024,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.937046,
12315256082310144,54.57440789563,9.96991229411,star,2022A&A...667A.148G,Gaia DR3 variability,True,,19.144295,
3532799579575168,47.132870211,4.46314281413,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.059393,
6111399160366080,40.95509275998,5.41714851338,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.713345,
7939161147436672,43.75418852602,6.56779206121,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.928455,
6993551083342976,45.39047460864,6.04091176064,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.625568,
9517651823494656,50.07714102246,6.46106746881,star,2022A&A...667A.148G,Gaia DR3 variability,True,,15.031378,
5313600395193728,44.35487254192,4.85689164243,star,2022A&A...667A.148G,Gaia DR3 variability,True,,12.812732,
3885330495346688,46.15189571078,5.41722589827,star,2022A&A...667A.148G,Gaia DR3 variability,True,,16.76169,
6288970288166784,41.65436372536,5.49395018887,star,2022A&A...667A.148G,Gaia DR3 variability,True,,14.832695,
5714814765676928,40.51783236656,4.2089536232,star,2022A&A...667A.148G,Gaia DR3 variability,True,,20.323997,
8578802037330816,45.08189746647,8.20851576024,star,2022A&A...667A.148G,Gaia DR3 variability,True,,14.764163,
12428467123880448,52.4062460059,8.93749609487,star,2022A&A...667A.148G,Gaia DR3 variability,True,,18.868805,
000026.47+021359.2,0.110297,2.233126,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.357668
000012.59-014216.7,0.052493,-1.704643,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.386
000002.46+214939.3,0.010286,21.827593,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.105317
000000.66+145828.8,0.002756,14.974675,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.497
000026.31+242016.5,0.109649,24.337926,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.628226
000001.08+295225.0,0.004528,29.873618,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.495855
000023.94+083348.0,0.099774,8.563348,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.98076
000059.05+282233.0,0.246053,28.375839,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.985
000127.46+071911.5,0.364454,7.319876,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.8731
000036.73+044503.3,0.15307,4.750938,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.947442
000159.76+292622.0,0.499007,29.439468,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.975299
000014.74+003203.2,0.061434,0.534246,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.598
000159.89+222409.4,0.499547,22.402616,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.372067
000139.52+322953.1,0.414669,32.4981,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.089676
000005.39+212944.8,0.022476,21.495785,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.204955
000022.17+255005.3,0.092398,25.834825,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.38294
000204.72-001755.0,0.519667,-0.298611,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.267798
000151.24+084413.3,0.463532,8.737029,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.89
000008.03-002727.4,0.033461,-0.45763,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,2.181238
000057.15+150936.5,0.238158,15.160148,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.297
000052.48-022635.5,0.218667,-2.443202,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.802884
000124.72+334159.1,0.353006,33.699753,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.094168
000159.27+034352.9,0.496973,3.731381,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.85
000042.92+310715.3,0.17886,31.120944,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.619551
000123.61-032317.9,0.34839,-3.388329,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,3.121
000033.71+102012.0,0.140471,10.336684,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.038839
000202.62+085628.4,0.510943,8.941235,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,0.215246
000056.16+192036.9,0.234034,19.343593,normal_agn,2020ApJS..250....9L,SDSS DR16Q,True,,,1.221
